id,chinese,tag,level,money
lc,绿茶,无酒精,1,1
qj,雀酒,"中酒精,可加冰,可加热,清酒,辛",2,50
gwhb,果味High Ball,"低酒精,可加冰,鸡尾酒,西洋酒,水果,甘,苦",1,12
gws,果味SOUR,"低酒精,可加冰,烧酒,鸡尾酒,水果,甘,苦",1,12
q,淇,"低酒精,可加冰,清酒,鸡尾酒,气泡,甘,辛,苦",1,18
stj,水獭祭,"中酒精,可加冰,可加热,清酒,直饮",3,130
dbge,大冰棍儿,"无酒精,提神,甘,现代",2,35
bsmydn,冰山毛玉冻柠,"无酒精,直饮,气泡,提神,可加冰,甘,水果",2,45
mj,梅酒,"中酒精,可加冰,可加热,利口酒,水果",2,32
bzqs,波子汽水,"无酒精,气泡,现代",2,30
ryx,日月星,"中酒精,可加冰,可加热,清酒,直饮",2,34
czpj,超ZUN啤酒,"低酒精,可加冰,啤酒,苦",1,18
xhem,猩红恶魔,"低酒精,可加冰,鸡尾酒,西洋酒",2,45
dn,冬酿,"低酒精,甘,可加热,可加冰,古典",2,60
hsq,火鼠裘,"高酒精,可加热,辛,烧酒",4,420
tgy,天狗踊,"高酒精,可加冰,可加热,清酒,直饮",2,70
x,晓,"高酒精,可加冰,西洋酒,直饮",4,400
fz,风祝,"中酒精,可加冰,鸡尾酒,甘,现代",3,130
ngln,尼格罗尼,"中酒精,鸡尾酒,可加冰,水果,苦,西洋酒",3,100
jf,教父,"高酒精,可加冰,鸡尾酒,西洋酒,苦,古典",3,180
ylc,玉露茶,"无酒精,古典,可加热",2,50
ymhj,月面火箭,"无酒精,可加冰,现代,气泡",2,45
ssy,十四夜,"中酒精,清酒,可加冰,可加热,古典,甘",4,440
szm,神之麦,"中酒精,可加冰,可加热,烧酒,直饮",2,45
afjd,阿芙加朵,"无酒精,提神,甘,苦,可加冰",2,35
hw,红雾,"中酒精,可加热,西洋酒",2,75
hmghc,红魔馆红茶,"无酒精,水果,可加热,提神",2,25
nn,牛奶,"无酒精,直饮",2,16
hygz,红柚果汁,"无酒精,水果",2,24
dyn,大吟酿,"中酒精,清酒,水果,可加冰,直饮,甘,古典",3,210
kf,咖啡,"无酒精,苦,现代,可加热,可加冰,提神",2,62
gfnybs,古法奶油冰沙,"无酒精,甘,可加冰,古典",1,42
ptjsc,普通健身茶,"中酒精,苦,气泡,利口酒",2,32
yjyl,妖精雨露,"无酒精,甘,可加冰",2,80
gs,鬼杀,"高酒精,可加冰,烧酒,辛,古典",4,320
gmdbjl,古明地冰激凌,"无酒精,甘,水果,现代",2,35
qbj,气保健,"无酒精,甘,直饮,提神",2,45
ql,麒麟,"中酒精,啤酒,直饮",3,180
yzgl,杨枝甘露,"无酒精,可加冰,水果",2,50
lrz,伶人醉,"低酒精,直饮,水果,古典,甘",3,100
tdwy,天地无用,"高酒精,烧酒",3,150
mjtbjq,莫吉托爆浆球,"低酒精,气泡,现代,鸡尾酒",4,300
hdne,海的女儿,"低酒精,气泡,辛,古典",3,80
tkpj,太空啤酒,"中酒精,现代,水果,啤酒",3,42
mjkf,魔界咖啡,"高酒精,提神,可加热,西洋酒",4,210
wxbkf,卫星冰咖啡,"无酒精,现代,提神,苦",3,96
